Company_AZN,Año_AZN,Mes_AZN,Close_AZN,Company_HSBC,Año_HSBC,Mes_HSBC,Close_HSBC,Company_SHEL,Año_SHEL,Mes_SHEL,Close_SHEL,Company_TSCO,Año_TSCO,Mes_TSCO,Close_TSCO,Company_VOD,Año_VOD,Mes_VOD,Close_VOD
AZN,2020,5,205.65320205688477,HSBC,2020,5,89.89724731445312,SHEL,2020,5,120.19997215270996,TSCO,2020,5,442.4504623413086,VOD,2020,5,54.22667694091797
AZN,2020,6,251.54809951782227,HSBC,2020,6,114.46491622924805,SHEL,2020,6,162.03514099121094,TSCO,2020,6,617.7143936157227,VOD,2020,6,72.56727027893066
AZN,2020,7,215.07533264160156,HSBC,2020,7,87.46202278137207,SHEL,2020,7,119.87038230895996,TSCO,2020,7,556.7735290527344,VOD,2020,7,57.140076637268066
AZN,2020,8,263.0017890930176,HSBC,2020,8,101.78302192687988,SHEL,2020,8,142.79699325561523,TSCO,2020,8,724.5233306884766,VOD,2020,8,68.38418102264404
AZN,2020,9,210.5428695678711,HSBC,2020,9,73.41265487670898,SHEL,2020,9,100.28728103637695,TSCO,2020,9,545.6007843017578,VOD,2020,9,50.047640800476074
AZN,2020,10,200.9688262939453,HSBC,2020,10,76.52224540710449,SHEL,2020,10,98.0893325805664,TSCO,2020,10,565.6929168701172,VOD,2020,10,52.13258171081543
AZN,2020,11,262.85546493530273,HSBC,2020,11,119.26980781555176,SHEL,2020,11,159.08922958374023,TSCO,2020,11,664.5498199462891,VOD,2020,11,73.71033668518066
AZN,2020,12,194.3435821533203,HSBC,2020,12,98.07398414611816,SHEL,2020,12,140.48431015014648,TSCO,2020,12,564.6148986816406,VOD,2020,12,62.44247531890869
AZN,2021,1,197.2732391357422,HSBC,2021,1,102.27006530761719,SHEL,2021,1,150.6013298034668,TSCO,2021,1,595.1013336181641,VOD,2021,1,65.36972427368164
AZN,2021,2,191.85433197021484,HSBC,2021,2,106.5972671508789,SHEL,2021,2,150.89911270141602,TSCO,2021,2,632.5936584472656,VOD,2021,2,68.49597930908203
AZN,2021,3,239.93722534179688,HSBC,2021,3,141.36006927490234,SHEL,2021,3,204.74269485473633,TSCO,2021,3,844.5324096679688,VOD,2021,3,87.23473739624023
AZN,2021,4,201.04722213745117,HSBC,2021,4,114.92473602294922,SHEL,2021,4,149.63719940185547,TSCO,2021,4,727.9174499511719,VOD,2021,4,70.66464424133301
AZN,2021,5,273.24504470825195,HSBC,2021,5,152.26040267944336,SHEL,2021,5,194.8507957458496,TSCO,2021,5,919.3136749267578,VOD,2021,5,89.5817756652832
AZN,2021,6,231.56392669677734,HSBC,2021,6,114.24328994750977,SHEL,2021,6,159.17710876464844,TSCO,2021,6,716.8829956054688,VOD,2021,6,67.07183647155762
AZN,2021,7,226.30377578735352,HSBC,2021,7,107.1120834350586,SHEL,2021,7,154.38379669189453,TSCO,2021,7,737.6999664306641,VOD,2021,7,63.64838790893555
AZN,2021,8,286.1241874694824,HSBC,2021,8,132.87845420837402,SHEL,2021,8,197.41217803955078,TSCO,2021,8,962.6208038330078,VOD,2021,8,82.1169662475586
AZN,2021,9,228.0777473449707,HSBC,2021,9,100.96499633789062,SHEL,2021,9,165.45682525634766,TSCO,2021,9,818.7030487060547,VOD,2021,9,61.578049659729004
AZN,2021,10,241.01380157470703,HSBC,2021,10,115.2149887084961,SHEL,2021,10,187.91026306152344,TSCO,2021,10,812.0269775390625,VOD,2021,10,59.18845272064209
AZN,2021,11,284.6520462036133,HSBC,2021,11,139.59355926513672,SHEL,2021,11,217.85241317749023,TSCO,2021,11,1121.74658203125,VOD,2021,11,73.78300952911377
AZN,2021,12,222.25407028198242,HSBC,2021,12,115.09834480285645,SHEL,2021,12,173.50000381469727,TSCO,2021,12,923.8606872558594,VOD,2021,12,60.45000076293945
AZN,2022,1,285.724308013916,HSBC,2022,1,169.6293544769287,SHEL,2022,1,197.01000213623047,TSCO,2022,1,1086.5616455078125,VOD,2022,1,84.08000183105469
AZN,2022,2,233.0460968017578,HSBC,2022,2,138.1452350616455,SHEL,2022,2,212.04999923706055,TSCO,2022,2,854.3649291992188,VOD,2022,2,71.64999961853027
AZN,2022,3,255.4699935913086,HSBC,2022,3,132.29964637756348,SHEL,2022,3,213.4000015258789,TSCO,2022,3,918.9600067138672,VOD,2022,3,66.4399995803833
AZN,2022,4,272.4500045776367,HSBC,2022,4,132.91999626159668,SHEL,2022,4,222.12000274658203,TSCO,2022,4,872.7099914550781,VOD,2022,4,66.19999980926514
AZN,2022,5,257.5449981689453,HSBC,2022,5,124.03499984741211,SHEL,2022,5,231.10000228881836,TSCO,2022,5,813.6399993896484,VOD,2022,5,59.84500026702881
